Sample,Year,Area,Easting,Northing,Temperature,pH,O2,HCO3-,Fe+2,HS-,SiO2,Li+,Na+,NH4+,K+,Mg+2,Ca+2,F-,Cl-,NO2-,Br-,NO3-,SO4-2,HPO4-2,H2,CH4,CO
110710A,2011.0,Rabbit Creek,515184.07,4928402.61,88.9,7.49,NM,0.0029423968208333,3.581020590868398e-07,BDL,0.0063998002663115,2.153991550208904e-05,0.0034684639722652,9.005071286031043e-06,0.0003419986952373,BDL,9.379424422376363e-06,0.0004626315789473,5.5007052186177706e-05,BDL,BDL,9.347648331019e-06,8.005413283364564e-05,1.726835657892797e-06,NM,NM,NM
110720F1,2011.0,Rabbit Creek,515128.45,4928547.59,56.8,3.8,0.000109375,0.0013171659833333,1.056401074306177e-05,4.987970189542867e-07,0.0036368175765645,BDL,0.0004823124679939,2.2265803686252773e-05,0.0002608725686794,5.235082945895905e-06,3.3399449286391534e-05,7.378947368421052e-05,1.5148095909732016e-05,BDL,BDL,1.1128152775022622e-06,0.0004705392463043,BDL,NM,NM,NM
110720H1,2011.0,Rabbit Creek,515139.94,4928639.11,47.3,4.67,0.000103125,0.0017627476833333,1.5040286481647268e-05,4.107740156094126e-07,0.0038531957390146,9.31309285405561e-06,0.0009502295282088,1.022570030487805e-05,0.0004181886219349,4.360220901049167e-06,4.016818607465442e-05,2.7894736842105263e-05,1.619181946403385e-05,BDL,BDL,5.644715175736112e-07,0.000857797210077,BDL,NM,NM,NM
110717Y,2011.0,Rabbit Creek,515381.48,4929395.02,86.0,3.064,NM,0.0003632207416666,7.162041181736796e-07,BDL,0.0036617842876165,1.1249642990923496e-05,0.0012675314459227,0.0001956141116407,0.0004648657284715,1.527837002674347e-05,8.521804050850841e-05,9.736842105263158e-05,1.5768688293370946e-05,2.7170959678295844e-08,BDL,1.435370430401468e-06,0.0014942744118259,1.5373049149533438e-07,NM,NM,NM
110717C,2011.0,Rabbit Creek,515372.35,4929381.22,67.4,6.227,2.1875e-05,0.0007224837094166,BDL,6.89513526201514e-06,0.0037283621837549,5.8177828266820346e-05,0.0027145106436258,BDL,0.0002935633178168,BDL,1.354161404012176e-05,0.0002315789473684,2.7080394922425947e-05,1.3694163677861102e-05,BDL,3.815827458797611e-05,0.000996252342286,1.3477741720138904e-06,NM,NM,NM
110720Fa,2011.0,Rabbit Creek,515404.04,4929295.59,62.9,3.165,1.25e-05,0.0001756762416666,1.4324082363473592e-06,3.227510122645385e-06,0.0055093209054593,3.7992319694568505e-05,0.0023464670815961,0.0001698937899113,0.0006672342178943,1.538102269080436e-05,9.52964112730176e-05,6.157894736842106e-05,1.3540197461212972e-05,BDL,1.026231477773328e-06,1.935330917395238e-06,0.0018595856756194,3.158845715657556e-07,NM,NM,NM
110720Ga,2011.0,Rabbit Creek,515347.71,4929265.62,55.7,4.325,NM,0.0002665491333333,1.790510295434199e-07,BDL,0.0038615179760319,1.563632351246218e-05,0.001615839335293,2.362480784368071e-05,0.0001734562308719,BDL,1.4068638517391089e-05,0.0001284210526315,2.02820874471086e-05,BDL,BDL,3.5803621971811906e-05,0.0008192796169061,BDL,NM,NM,NM
110720Ka,2011.0,Rabbit Creek,515446.15,4929557.86,67.0,6.29,4.0625e-05,0.0011477293436666,BDL,4.107740156094126e-07,0.0036451398135818,2.363757715026653e-05,0.0028562161309232,BDL,0.0003527042510927,BDL,1.76850199610759e-05,0.00032,4.203102961918194e-05,1.9563090968373e-06,2.315278334000801e-07,2.9739585097306828e-06,0.0009369144284821,1.2919678977039405e-06,NM,NM,NM
110711E,2011.0,Washburn Springs,545086.0,4956963.0,88.7,6.037,3.9375e-06,0.0009136602499999,1.790510295434199e-07,5.970893726893962e-05,0.0030542609853528,BDL,0.0013757552917705,0.0190362438525498,0.0003254171573103,0.0005021903881231,0.0007835157096786,2.694736842105263e-05,1.6812411847672778e-05,BDL,BDL,6.773658210883333e-06,0.0110410160316468,2.2111920009602888e-06,NM,NM,NM
110711G,2011.0,Washburn Springs,545103.24,4956979.97,65.6,5.632,NM,0.0045822284625,5.371530886302595e-07,9.183733348981868e-05,0.0036451398135818,BDL,0.0012196536918661,0.0257996491274944,0.0004045387781565,0.0004203804571898,0.0005843346814711,1.08e-05,1.8899858956276443e-05,BDL,BDL,1.0257253862194765e-05,0.0133864251509473,BDL,NM,NM,NM
110711I,2011.0,Washburn Springs,545080.15,4956995.75,70.5,6.127,2.71875e-06,0.005001945825,7.162041181736796e-07,5.750836218531776e-05,0.0032123834886817,BDL,0.0013829676658923,0.021816151015521,0.0003969251798671,0.000626643031475,0.000909974521849,2.2457894736842107e-05,1.159379407616361e-05,BDL,BDL,1.2692545266583771e-05,0.0115282115344576,4.969917259301221e-06,NM,NM,NM
110711N,2011.0,Washburn Springs,545103.0,4957226.0,81.2,2.665,NM,0.0003448066833333,BDL,7.77536529546388e-06,BDL,BDL,0.0002151443372484,0.0368345514803215,0.0002444804059255,0.0001000398680106,0.0001762331166225,1.4821052631578948e-05,1.2750352609308886e-05,BDL,BDL,4.231923606037588e-06,0.0268186550072871,8.781591089528006e-06,NM,NM,NM
110711O,2011.0,Washburn Springs,545171.3,4957204.94,81.8,3.03,NM,6.425965e-05,BDL,3.0808051170705943e-06,BDL,BDL,0.0013243157749866,0.0314598544304323,0.0002128819894343,0.0007793670664472,0.0008196395684664,6.978947368421053e-05,0.0002315655853314,BDL,BDL,4.556091534701289e-06,0.0184468040807828,4.41185451620172e-07,NM,NM,NM
110711P,2011.0,Washburn Springs,545123.06,4957224.0,84.2,3.241,NM,0.0006063948625,BDL,3.095475617628073e-05,BDL,BDL,0.0008318260416187,0.0319725197644124,0.0001843936854032,0.0006530654219296,0.0005423854360247,9.184210526315789e-06,6.8265162200282085e-06,BDL,BDL,3.419084620731588e-06,0.0178638351030605,BDL,NM,NM,NM
110711Q,2011.0,Washburn Springs,545103.62,4957187.26,38.9,3.952,NM,0.0001826354875,BDL,4.694560178393287e-05,BDL,BDL,0.000612003547839,0.0293058135277161,0.0001903302903706,0.000346179408215,0.0002768508794517,1.5421052631578946e-05,9.921015514809591e-06,BDL,BDL,2.032097463265e-06,0.0176941494899021,5.97021840259278e-07,NM,NM,NM
110712E,2011.0,Sentinel Meadows,510707.73,4935151.23,90.0,7.73,3.75e-05,0.0052798954583333,BDL,1.16777184437533e-05,BDL,0.0003342577902319,0.0129709409975367,BDL,0.0003193696062616,BDL,3.7402699236488845e-05,0.0011947368421052,0.0063413258110014,BDL,7.496495794953944e-06,5.3382877804818655e-06,0.0001748906933166,5.770158173934469e-07,NM,NM,NM
110713C,2011.0,Sentinel Meadows,510707.73,4935151.23,66.6,8.17,3.75e-05,0.0054020471125,BDL,6.689748254210434e-06,BDL,0.0003463187102722,0.0140502399154162,BDL,0.0003527060529997,1.3049574326270312e-05,4.6456186735865056e-05,0.0013405263157894,0.0057348377997179,BDL,6.507809371245496e-06,BDL,0.0001676035810951,BDL,NM,NM,NM
110716E,2011.0,Sentinel Meadows,510707.73,4935151.23,89.5,8.2,5.5e-06,0.0055537666666666,BDL,6.689748254210434e-06,BDL,0.0003403524091629,0.0136461157739862,BDL,0.0003568992708122,BDL,4.67946378162583e-05,0.0014210526315789,0.0066685472496473,BDL,7.471465758910693e-06,6.467230815629088e-06,0.0001734020403914,3.938027658853087e-07,NM,NM,NM
110716C,2011.0,Sentinel Meadows,510707.73,4935151.23,64.4,8.2,9.0625e-05,0.0055485073333333,BDL,1.2616630479431956e-06,BDL,0.0003549388500216,0.0142236458978049,BDL,0.0003342206901834,BDL,3.139666359349269e-05,0.0012842105263157,0.0065613540197461,BDL,8.22236684020825e-06,6.451103057984127e-06,0.0001780137414116,3.790614858789066e-07,NM,NM,NM
JRH110720H,2011.0,Sentinel Meadows,510707.73,4935151.23,88.9,7.561,NM,0.0055645711666666,BDL,6.366997241945895e-06,BDL,0.0003395245561158,0.0135693610745197,BDL,0.00035480712299,BDL,4.790390801936224e-05,0.0011715789473684,0.0062031029619181,BDL,7.546555867040449e-06,4.354494564139286e-06,0.000156152404747,2.42178171533746e-07,NM,NM,NM
JRH110720I,2011.0,Sentinel Meadows,510707.73,4935151.23,76.9,7.868,NM,0.0055550529166666,BDL,2.1125520802769782e-06,BDL,0.0003315270361619,0.0135455929930396,BDL,0.0003382280374338,BDL,3.716157238385149e-05,0.0012042105263157,0.0062059238363892,BDL,7.88446135362435e-06,3.709384258340873e-06,0.0001676035810951,3.169375201376414e-07,NM,NM,NM
JRH110720P,2011.0,Sentinel Meadows,510836.0,4935026.0,66.9,8.42,NM,0.004709972375,BDL,3.843671146059504e-06,BDL,0.0002869246182106,0.01359053522686,BDL,0.000303093863838,BDL,3.512396816832177e-05,0.0012473684210526,0.0063526093088857,BDL,8.00961153384061e-06,5.451182083996588e-06,0.0001717676452217,4.527678859109163e-07,NM,NM,NM
JRH110720Q,2011.0,Sentinel Meadows,510858.0,4934824.0,74.9,8.114,NM,0.0045842485833333,BDL,3.0808051170705943e-06,BDL,0.0002664293303558,0.0142306792230056,BDL,0.0003258677400807,BDL,4.5519149957582704e-05,0.001316,0.0073342736248236,BDL,8.885662795354425e-06,4.193216987689683e-06,0.0001628149073495,2.748195772622074e-07,NM,NM,NM
JRH110720T,2011.0,Imperial Geyser Basin,511911.0,4932627.0,76.8,8.05,NM,0.0070166934749999,BDL,2.582008098116308e-06,BDL,0.0004235673003889,0.0177079028328934,BDL,0.0003493448236879,2.705582379482958e-05,6.991642776585658e-05,0.0016873157894736,0.0080423131170662,BDL,1.1175911093311974e-05,BDL,0.0002536956069123,3.264140572846141e-07,NM,NM,NM
110717A1,2011.0,White Creek,516061.2252,4931216.571,85.8,7.957,2.1875e-05,0.0051989760416666,1.2533572068039392e-06,3.520920133794965e-07,0.0047603195739014,0.0005118111861403,0.014246905674746,BDL,0.0003985696931452,BDL,3.062180224562103e-05,0.0011310526315789,0.007049365303244,BDL,8.635362434921906e-06,6.61238063443373e-06,0.000191546949823,3.264140572846141e-07,NM,NM,NM
110717B1,2011.0,White Creek,516061.2252,4931216.571,62.5,8.395,7.1875e-05,0.0052618879583333,2.6857654431512977e-06,3.814330144944545e-07,0.0050932090545938,0.0004950638752341,0.0137775964233481,BDL,0.0004088632587094,BDL,3.848732366884575e-05,0.0010826315789473,0.0068851904090267,BDL,8.672907488986783e-06,3.951300623015278e-06,0.0001811367895065,BDL,NM,NM,NM
110717C1,2011.0,White Creek,516107.4361,4931380.21,78.2,8.7,1.875e-05,0.0040382783333333,8.952551477170994e-07,2.288598086966727e-06,0.0057756324900133,0.0005313479994237,0.0148683578206462,BDL,0.0003463946000209,BDL,BDL,0.0010421052631578,0.0078138222849083,BDL,9.636563876651984e-06,0.0001612775764496,0.0001665625650635,BDL,NM,NM,NM
110717D1,2011.0,White Creek,516075.5388,4931037.563,87.1,8.314,6.84375e-06,0.0045320982916666,1.611459265890779e-06,6.660407253095476e-06,0.0046770972037283,0.0005092244632185,0.0133383201381101,BDL,0.0004304631568329,BDL,5.005443419332302e-05,0.0011210526315789,0.0067588152327221,BDL,8.385062074489388e-06,4.128705957109841e-06,0.0001413699770976,2.000602286583119e-07,NM,NM,NM
110917M,2011.0,Amphitheater Springs,521784.0,4960430.0,82.0,2.306,4.375e-05,4.521433333333333e-06,7.806624888093106e-05,8.567572325567748e-06,0.0024633821571238,5.70496391009941e-06,0.0011787206653207,0.0002280201577882,0.0005511885255624,5.498005011314544e-05,8.856703164766206e-05,3.157894736842105e-06,1.7207334273624822e-05,BDL,BDL,1.6934145527208338e-07,0.0068415573599833,1.052948571885852e-07,NM,NM,NM
110917N,2011.0,Amphitheater Springs,521696.0,4960359.0,41.8,2.573,3.75e-05,0.0004416116333333,2.1486123545210385e-05,2.408896191538055e-05,0.0037117177097203,BDL,0.0014024554437671,0.0001377778214523,0.0003625257530634,5.364982546801071e-05,0.0001110419780677,1.5157894736842102e-05,7.04654442877292e-05,BDL,1.4517420905086106e-07,2.403035889099087e-07,0.003225067666042,4.106499430354824e-07,NM,NM,NM
110917O,2011.0,Amphitheater Springs,521696.0,4960359.0,77.1,2.493,7.281250000000001e-06,6.878615250660432e-05,2.2918531781557747e-05,0.0001065078340472,0.0041527962716378,BDL,0.0010552588508827,0.0001575942849501,0.0002992478265551,5.235210236576836e-05,9.537486883077996e-05,9.157894736842104e-06,5.416078984485189e-05,BDL,BDL,3.693256500695913e-07,0.0034093275036435,4.422384001920579e-07,NM,NM,NM
110917P,2011.0,Amphitheater Springs,521763.0,4960279.0,41.1,3.572,5e-05,7.702673393504966e-05,8.057296329453894e-06,3.761516342937621e-05,0.000436085219707,5.398516208039188e-06,0.0025035714855595,6.517757328159646e-05,0.0004591073898737,5.022930919563876e-05,0.0001344267405683,4.131578947368421e-05,0.000119605077574,BDL,1.4329695634761717e-07,4.854455051133055e-07,0.0017697272537997,BDL,NM,NM,NM
110917Q,2011.0,Amphitheater Springs,521763.0,4960279.0,34.2,3.074,9.0625e-05,0.0004069151166666,2.0948970456580127e-05,8.156798309958337e-06,0.0004227696404793,5.554318037746722e-06,0.0021221598457557,7.613498314855875e-05,0.0004996993215306,5.59901627031475e-05,0.000149326966378,2.8705263157894737e-05,0.000111706629055,BDL,BDL,2.1449917667797226e-07,0.0019977097647303,BDL,NM,NM,NM
110910A,2011.0,Norris Geyser Basin,522579.53,4952670.06,77.5,3.94,3.4375e-05,8.303850000000001e-05,5.192479856759177e-06,BDL,BDL,0.0003036885932862,0.0074141314870105,6.592159379157428e-05,0.0008595861525692,BDL,7.581641394281153e-05,0.0001621052631578,0.0073537376586741,BDL,9.523928714457348e-06,1.6611590374309126e-06,0.0007252758692483,BDL,NM,NM,NM
110910B,2011.0,Norris Geyser Basin,522587.98,4952665.5,91.0,4.325,5.2812500000000005e-06,1.2860492305791337e-05,1.1817367949865713e-05,BDL,BDL,0.0003331895654228,0.0081550086976167,5.400828372505543e-05,0.0007644945552722,BDL,BDL,0.0002363157894736,0.0076471086036671,BDL,9.686623948738488e-06,2.064352978554921e-07,0.00075921299188,BDL,NM,NM,NM
110910C,2011.0,Norris Geyser Basin,522585.53,4952664.13,62.9,3.433,3.125e-05,4.4032925e-05,5.013428827215757e-06,BDL,BDL,0.0002075236974139,0.0048631839723139,3.331310529379158e-05,0.0007163673349864,BDL,BDL,0.0001588421052631,0.0042200282087447,BDL,5.492215658790549e-06,3.757767531275754e-07,0.000857797210077,BDL,NM,NM,NM
110910D,2011.0,Norris Geyser Basin,522587.98,4952665.5,80.3,4.342,1.734375e-05,4.383490133016542e-06,1.163831692032229e-05,BDL,BDL,0.0004117629943451,0.0095582026392914,6.124413525498892e-05,0.0009392180424404,BDL,9.05022038275363e-05,0.0002465789473684,0.0092045133991537,BDL,1.2139567480977172e-05,6.773658210883334e-07,0.0007505725588174,BDL,NM,NM,NM
110911I,2011.0,Rabbit Creek,513495.71,4929046.93,87.8,3.242,NM,0.0006887792416666,1.969561324977619e-06,BDL,BDL,4.699084036882294e-05,0.0023564187201272,0.0002626603084257,0.000906121066811,4.957151059452787e-05,0.0001651222952492,2.183157894736842e-05,0.0002578279266572,BDL,2.828394072887465e-07,7.563918335486388e-07,0.0020822402665001,2.506017601088328e-07,NM,NM,NM
110911K,2011.0,Rabbit Creek,513465.15,4929044.34,76.6,3.169,0.0001281249999999,9.283350000000002e-06,3.2229185317815574e-06,BDL,BDL,2.56645305431494e-05,0.0018800983849381,0.0001425713694013,0.0004124931789489,1.57075288006583e-05,4.790658216477868e-05,4.157894736842105e-05,0.0004188998589562,BDL,5.006007208650381e-07,BDL,0.0013533208411409,1.231949829106447e-07,NM,NM,NM
110918R,2011.0,Imperial Geyser Basin,509804.09,4930936.13,57.0,3.784,NM,0.0005366560583333,7.162041181736796e-07,4.987970189542867e-07,0.0048768308921438,4.927048422417519e-05,0.0019648716793109,0.0001128555693458,0.0002525517292951,BDL,BDL,1.3263157894736844e-05,9.929478138222848e-06,BDL,BDL,3.080401710187421e-07,0.0012554653341661,3.969616116009662e-06,NM,NM,NM
110918S,2011.0,Imperial Geyser Basin,509790.7,4930929.56,41.0,3.262,NM,0.0009448195416666,2.8648164726947183e-06,2.934100111495804e-07,0.0036617842876165,3.128973303558565e-05,0.0012089046203335,6.815599168514412e-06,0.0003949076601668,3.465256720839333e-05,9.3966770185638e-05,4.752631578947368e-05,2.8349788434414665e-05,BDL,BDL,4.660921959393532e-07,0.0012273579013116,BDL,NM,NM,NM
110918T,2011.0,Imperial Geyser Basin,509850.39,4930953.62,74.3,3.268,NM,6.322039166666666e-05,1.611459265890779e-06,2.2592570858517693e-06,0.0050349533954727,0.0001814376938481,0.0060304379476801,0.0004847267286031,0.0003418470765225,8.121926599465131e-05,0.0002620196228604,0.0002582105263157,0.0021111424541607,BDL,1.8566029235082097e-06,4.338366806494326e-06,0.0033864251509473,2.053249715177412e-07,NM,NM,NM
110918U,2011.0,Imperial Geyser Basin,509849.28,4930952.77,88.2,4.216,NM,4.425611480762084e-06,3.760071620411817e-06,3.462238131565049e-06,0.0063165778961384,0.0001264850185852,0.0049554163769979,0.0002056518245011,0.0001891149992454,1.5549800102859495e-05,BDL,0.0002831578947368,0.0017489421720733,BDL,1.8365788946736085e-06,BDL,0.0017426608369768,BDL,NM,NM,NM
110918V,2011.0,Imperial Geyser Basin,509832.13,4930959.96,74.8,8.402,NM,0.0056873115083333,BDL,3.520920133794965e-07,0.002806258322237,0.0003727571092782,0.0139017193110987,BDL,0.0003420148433947,BDL,5.455802024801636e-05,0.0011368421052631,0.0056502115655853,BDL,1.2515018021625953e-05,1.612775764496032e-05,0.0002311055590256,BDL,NM,NM,NM
110918W,2011.0,Imperial Geyser Basin,510056.17,4930944.71,92.0,8.114,NM,0.0054720158413333,BDL,1.4670500557479022e-06,BDL,0.0003488924719781,0.0135212031871655,BDL,0.0002870717951291,BDL,BDL,0.0012168421052631,0.0054710860366713,BDL,6.83319983980777e-06,5.644715175736112e-07,0.0001865500728711,BDL,NM,NM,NM
110918X,2011.0,Imperial Geyser Basin,510056.17,4930944.71,84.4,8.197,NM,0.0055735087483333,BDL,2.3472800891966434e-06,BDL,0.000352920524204,0.0136271022771042,BDL,0.0002906473313673,BDL,BDL,0.0012321052631578,0.0055317348377997,BDL,7.121045254305166e-06,BDL,0.0001922756610451,BDL,NM,NM,NM
120712TA,2012.0,GOPA,544478.91,4939776.12,64.3,4.653,5.9375e-05,0.0018588710416666,2.148612354521038e-06,2.3766210903116013e-06,0.0068808255659121,0.0004837487393747,0.0191513596040627,2.372505543237251e-05,0.0010846392298386,6.774326270314751e-06,0.0002162894855032,0.0011098947368421,0.0133531734837799,4.347353548527334e-07,1.7677462955546657e-05,4.257728018269524e-07,0.0031205565965715,BDL,NM,4.6535907399639377e-08,NM
120712TC,2012.0,GOPA,544478.91,4939776.12,52.5,5.456,5.625e-05,0.0001155322,1.074306177260519e-06,1.6430960624376504e-06,0.0075099866844207,0.0004899654228497,0.0196627030049758,1.7904656319290467e-05,0.0011247905919183,7.335939107179594e-06,0.0002001359848295,0.0011287368421052,0.0131443441466854,BDL,1.7691855226271526e-05,BDL,0.0031125234228607,BDL,NM,1.2364128106888893e-08,NM
120712TD,2012.0,GOPA,544533.85,4939790.32,72.5,6.324,9.375e-05,0.0063000902583333,BDL,2.3472800891966434e-06,0.0041078561917443,6.662584641982424e-05,0.0040593818058806,2.106430155210644e-05,0.0007360588567789,0.0007900925735445,0.0010616273267129,0.0003574578947368,0.0022935782792665,BDL,2.348443131758109e-06,2.669143890240933e-07,0.000495990006246,3.198857761389217e-06,NM,9.40448607306519e-08,NM
120712TE,2012.0,GOPA,544478.91,4939776.12,49.3,5.784,4.0625e-05,0.0001279807,5.371530886302595e-07,2.141893081391937e-06,0.0069407456724367,0.0004885391154012,0.0188756790031252,1.0809312638580932e-05,0.0011167135143983,7.876980045258178e-06,0.0002011789510454,0.001081798245614,0.0131614715561824,BDL,1.8178689427312776e-05,BDL,0.0031357658407939,BDL,NM,8.59365774274033e-09,NM
120721TW,2012.0,Sylvan Springs,518628.87,4949652.95,53.5,2.231,1.5625e-05,0.0023028134958333,6.535362578334826e-05,2.2445865852942905e-05,0.0042110519307589,0.0001873433222878,0.005268386994232,0.0001771064301552,0.0005973904236245,1.255502982925324e-05,8.360696641548979e-05,5.687894736842105e-05,0.0037517348377997,BDL,4.427813376051261e-06,BDL,0.0055225796377264,9.45021343267552e-07,NM,3.72883274721957e-08,NM
120721TX,2012.0,Sylvan Springs,518628.87,4949652.95,39.3,2.229,0.000328125,0.000176300925,2.596239928379588e-05,8.215480312188252e-07,0.0038698402130492,0.0001872208615473,0.0051628400441953,0.0001166851441241,0.000620328761097,1.31660152232051e-05,8.438544837566743e-05,0.0001878508771929,0.0036084391161259,BDL,4.684371245494594e-06,BDL,0.0057555954611701,2.000602286583119e-07,NM,5.543728816800641e-08,NM
120721TY,2012.0,Sylvan Springs,518589.61,4949632.09,29.1,2.084,0.000146875,2.538929166666664e-06,4.350940017905104e-05,4.313127163898832e-06,0.0060785619174434,0.0001688589540412,0.0051099904483598,0.0004214708056171,0.000961948473463,1.8127957210450525e-05,0.0001129934128449,0.0002055701754385,0.0031559238363892,BDL,4.332699239086904e-06,5.644715175736112e-07,0.0067901224928863,2.5797240011203376e-07,NM,3.594574047582093e-08,NM
120721TA,2012.0,Sylvan Springs,518588.98,4949645.21,73.2,5.232,1.25e-05,0.0014661532208333,BDL,BDL,0.0076348202396804,0.0003798155885319,0.0107780914777061,0.0002391906873614,0.0003860871188772,1.0923678255502982e-06,9.404536154498728e-05,0.0006177192982456,0.0081101551480959,BDL,1.08505206247497e-05,BDL,0.0011423068915261,BDL,NM,1.4534242770070365e-08,NM
